framework,projeto,data_do_commit,hoje,Lifetime,commits
Android,exallium/RxRecyclerView,2015-05-11 15:10:37,2019-07-04 18:53:45.743336,1515,59
Android,torryharris/Skycons,2014-09-12 15:34:44,2019-07-04 18:53:45.743336,1756,62
Android,chentao0707/SettingView,2014-08-05 18:48:55,2019-07-04 18:53:45.743336,1794,8
Android,alt236/Bluetooth-LE-Library---Android,2014-03-09 23:00:00,2019-07-04 18:53:45.743336,1942,123
Android,yazhidev/Practice,2017-03-30 16:24:31,2019-07-04 18:53:45.743336,826,46
Android,qkxyjren/LikeView,2017-05-27 18:26:43,2019-07-04 18:53:45.743336,768,22
Android,toddway/ListOfThings,2016-05-10 16:27:22,2019-07-04 18:53:45.743336,1150,33
Android,hongyangAndroid/android-percent-support-extend,2015-06-30 20:39:20,2019-07-04 18:53:45.743336,1464,16
Android,jacek-marchwicki/JavaWebsocketClient,2012-10-22 10:32:28,2019-07-04 18:53:45.743336,2446,94
Android,codeka/wwmmo,2011-12-10 02:54:31,2019-07-04 18:53:45.743336,2763,1967
Android,sphinx02/AppStarter,2016-07-18 19:13:07,2019-07-04 18:53:45.743336,1080,3
Android,sockeqwe/mosby,2015-02-25 01:23:53,2019-07-04 18:53:45.743336,1590,602
Android,D-clock/AndroidStudyCode,2016-05-13 14:26:23,2019-07-04 18:53:45.743336,1147,52
Android,milaptank/SpannableTextView,2017-11-23 19:24:42,2019-07-04 18:53:45.743336,587,8
Android,senzhk/ADBKeyBoard,2013-09-06 04:35:11,2019-07-04 18:53:45.743336,2127,25
Android,brianwernick/ExoMedia,2015-03-14 14:04:18,2019-07-04 18:53:45.743336,1573,615
Android,seatgeek/android-PlacesAutocompleteTextView,2015-09-04 11:33:03,2019-07-04 18:53:45.743336,1399,85
Android,manmal/hn-android,2012-08-27 02:12:31,2019-07-04 18:53:45.743336,2502,306
Android,codesoup/android-cubic-bezier-interpolator,2013-10-25 05:24:03,2019-07-04 18:53:45.743336,2078,10
Android,anzaizai/EasyRefreshLayout,2016-09-26 12:57:18,2019-07-04 18:53:45.743336,1011,40
Android,jshvarts/OfflineSampleApp,2017-09-16 15:45:34,2019-07-04 18:53:45.743336,656,63
Android,tokudu/AndroidPushNotificationsDemo,2010-05-13 13:46:58,2019-07-04 18:53:45.743336,3339,14
Android,ShawnLin013/NumberPicker,2016-06-13 02:49:48,2019-07-04 18:53:45.743336,1116,152
Android,florina-muntenescu/MVPvsMVVM,2016-04-11 18:59:41,2019-07-04 18:53:45.743336,1178,9
Android,NikoYuwono/ToolbarPanel,2015-11-17 15:23:29,2019-07-04 18:53:45.743336,1325,18
Android,tyczj/MapNavigator,2013-10-07 16:10:03,2019-07-04 18:53:45.743336,2096,19
Android,penglu20/Bigbang,2016-10-26 10:46:23,2019-07-04 18:53:45.743336,981,305
Android,MiEcosystem/NewXmPluginSDK,2016-02-03 19:36:26,2019-07-04 18:53:45.743336,1246,640
Android,xxxyanchenxxx/QqDecrpt,2017-11-28 14:13:49,2019-07-04 18:53:45.743336,583,12
Android,frostwire/frostwire,2015-11-03 14:50:18,2019-07-04 18:53:45.743336,1339,5653
Android,gowong/material-sheet-fab,2015-07-14 18:16:16,2019-07-04 18:53:45.743336,1451,74
