framework,repository,forks,diskUsage_KB,stargazers,watchers,issues,commits,pullRequests,updatedAt,projects
Android,pwittchen/WeatherIconView,22,340,197,10,10,67,2,2019-06-05T12:44:31Z,0
Android,RameshBhupathi/CollapsingToolbar-With-Webview,41,6360,210,6,0,7,0,2019-06-16T01:37:26Z,0
Android,dlazaro66/WheelIndicatorView,70,898,399,8,8,16,1,2019-03-07T20:50:13Z,0
Android,FabianTerhorst/FastLayout,42,351,432,25,20,213,13,2019-04-30T05:22:06Z,0
Android,HelloVass/SnowingView,43,823,255,7,3,7,0,2019-06-20T07:51:07Z,0
Android,danprado/easyweather,52,517,162,11,1,53,1,2019-06-05T12:06:47Z,0
Android,florent37/android-slidr,42,356,262,5,23,45,2,2019-06-24T15:46:19Z,0
Android,cmusphinx/pocketsphinx-android,101,157,174,31,32,101,15,2019-05-28T03:33:13Z,0
Android,bingoogolapple/BGAUpdate-Android,39,112,187,11,11,12,5,2019-06-14T09:28:55Z,0
Android,fashare2015/StackLayout,49,1365,404,11,6,18,0,2019-06-26T03:08:41Z,0
Android,EvilBT/SherlockAdapter,37,11028,182,7,4,49,1,2019-05-30T03:29:10Z,0
Android,fengyongge/imagepicker,59,10759,267,12,14,15,1,2019-06-18T03:12:27Z,0
Android,xxxyanchenxxx/QqDecrpt,87,2123,179,10,6,12,0,2019-06-25T02:47:56Z,0
Android,jparkie/GivesMeHopeAndroidClient,41,9646,220,13,5,38,0,2019-06-09T00:35:57Z,0
Android,gauravk95/audio-visualizer-android,41,4118,345,12,8,61,1,2019-06-24T17:19:45Z,0
Android,limxing/Android-PromptDialog,79,864,434,12,20,49,0,2019-06-25T02:46:26Z,0
Android,mkulesh/microMathematics,35,905979,185,17,66,522,22,2019-06-24T17:41:25Z,0
Android,uin3566/DragFooterView,24,35138,189,3,5,42,0,2019-06-24T06:33:49Z,0
Android,facebookarchive/ig-disk-cache,21,95,174,18,2,4,2,2018-11-15T11:14:18Z,0
Android,esafirm/android-image-picker,168,727,527,18,177,173,50,2019-06-25T08:16:12Z,0
Android,JeasonWong/TrendChart,32,90,168,6,1,2,1,2019-06-04T21:56:38Z,0
Android,flankerhqd/JAADAS,90,52643,245,28,12,33,1,2019-06-20T06:27:04Z,0
Android,ogaclejapan/RxBinding,25,399,209,21,4,16,0,2019-06-07T10:20:03Z,0
Android,itzikBraun/TutorialView,55,1679,328,19,9,44,6,2019-04-16T11:17:33Z,0
Android,xiewenfeng/SoftboradBlockEdittext,38,1489,181,4,3,3,0,2019-06-21T03:09:56Z,0
Android,googlesamples/android-SimpleMediaPlayer,91,6551,157,18,0,3,0,2019-06-17T12:56:01Z,0
Android,ma1co/OpenMemories-Tweak,65,86,556,71,337,40,3,2019-06-26T01:47:35Z,0
Android,ssomai/ScalableLayout,100,5313,259,38,68,193,3,2019-06-17T10:15:04Z,0
Android,xingrz/GankMeizhi,133,4033,565,24,10,37,0,2019-06-17T09:28:55Z,0
Android,daCapricorn/ArcMenu,616,466,1350,127,26,18,7,2019-06-02T14:07:27Z,0
Android,sgolivernet/curso-android-src,1722,4560,411,148,3,36,3,2019-05-16T01:41:36Z,0
Android,forezp/banya,245,7294,896,47,7,21,0,2019-06-21T02:08:56Z,0
Android,RiccardoMoro/FreeDrawView,103,3420,577,23,15,73,9,2019-06-24T14:22:08Z,0
Android,bingoogolapple/BGARefreshLayout-Android,1003,7537,3983,168,155,172,22,2019-06-25T12:15:35Z,0
Android,Telenav/NodeFlow,63,1296,557,23,3,34,0,2019-06-14T09:22:29Z,0
Android,grandcentrix/ThirtyInch,97,1402,1031,49,71,665,121,2019-06-20T13:55:21Z,0
Android,konmik/solid,14,339,304,12,9,135,9,2019-04-28T01:33:56Z,0
Android,soulqw/SoulPermission,65,473,456,6,18,40,2,2019-06-26T02:37:51Z,0
Android,vikramkakkar/ImageTransition,55,11822,621,16,5,14,1,2019-06-14T14:09:35Z,0
Android,thewca/tnoodle,65,72673,169,33,214,2090,196,2019-06-19T08:37:47Z,0
Android,licheedev/Android-SerialPort-Tool,62,460,247,11,4,6,0,2019-06-25T05:44:10Z,0
Android,bartwell/ExFilePicker,75,18127,240,18,29,48,5,2019-06-19T09:42:47Z,0
Android,jacobtabak/Fragment-Switcher,39,342,249,9,6,23,0,2019-01-26T11:33:04Z,0
Android,JakeWharton/NineOldAndroids,1631,1207,4492,350,66,115,24,2019-06-25T07:35:43Z,0
Android,programingjd/justified,42,239,191,11,13,15,0,2019-06-17T06:10:03Z,0
Android,yangchong211/YCVideoPlayer,199,9917,988,26,56,80,0,2019-06-25T13:42:13Z,0
Android,baoyongzhang/Treasure,59,258,507,13,17,75,3,2019-06-17T02:12:17Z,0
Android,couchbaselabs/ToDoLite-Android,104,1655,181,157,68,180,21,2019-04-16T12:16:06Z,0
Android,StylingAndroid/ViewPagerAnimator,27,185,342,10,1,20,2,2019-06-14T10:03:55Z,0
Android,chrisbanes/cheesesquare,1908,1326,7730,414,0,26,36,2019-06-25T02:57:41Z,0
Android,emmasuzuki/EasyForm,20,969,172,3,9,78,2,2019-03-24T07:29:28Z,0
Android,nextcloud/news-android,206,199069,411,126,638,2172,134,2019-06-25T03:01:31Z,0
Android,schwabe/ics-openvpn,674,51147,1572,182,992,1545,42,2019-06-26T01:06:00Z,0
Android,dgmltn/Android-ShareEverywhere,27,1113,173,5,3,45,2,2019-02-27T17:11:44Z,0
Android,JoanZapata/android-iconify,533,3689,3792,131,179,301,38,2019-06-26T02:40:04Z,0
Android,CNCoderX/RecyclerViewHelper,5,488,249,1,0,22,0,2019-06-25T07:19:09Z,0
Android,facebook/facebook-android-sdk,2981,26471,4851,597,0,1132,278,2019-06-26T01:38:23Z,0
Android,SpikeKing/TestCoordinatorLayout,53,389,175,13,2,13,0,2019-06-14T09:29:12Z,0
Android,react-native-google-cast/react-native-google-cast,115,6518,340,13,95,174,30,2019-06-19T17:19:32Z,0
Android,kaaes/spotify-web-api-android,132,2656,309,27,100,191,77,2019-06-24T11:42:54Z,0
Android,lantouzi/WheelView-Android,198,641,1037,33,16,16,1,2019-06-16T10:11:18Z,0
Android,ZieIony/RandomData,18,15794,155,8,6,23,2,2019-06-14T09:30:31Z,0
Android,Curzibn/BottomDialog,79,2788,399,10,11,30,1,2019-06-03T15:17:27Z,0
Android,jfrog/project-examples,999,22220,510,101,76,466,100,2019-06-21T21:31:09Z,0
Android,ShamylZakariya/FlyoutMenus,87,8657,958,16,6,26,1,2019-06-21T11:07:38Z,0
Android,kanytu/android-material-drawer-template,233,7548,693,68,44,29,7,2019-05-07T06:45:56Z,0
Android,HelloChenJinJun/TestChat,121,24572,313,12,9,155,1,2019-06-23T03:00:32Z,0
Android,bmeike/ProgrammingAndroidExamples,108,3964,215,44,3,111,2,2019-01-09T01:55:12Z,0
Android,cubei/FlappyCow,190,61924,227,46,15,100,8,2019-06-22T05:20:01Z,0
Spring,spring-projects/spring-boot,25627,103194,39449,3308,13812,22100,3468,2019-06-26T02:59:37Z,0
Android,aosp-mirror/platform_frameworks_base,5450,2903744,8601,881,0,386018,97,2019-06-26T02:19:17Z,0
Android,zhou-you/EasySignSeekBar,66,8812,470,12,6,39,0,2019-06-25T06:21:00Z,0
Android,appwise-labs/NoInternetDialog,76,6129,304,11,35,32,3,2019-06-25T15:31:54Z,0
Android,betomaluje/Mi-Band,55,838,187,17,16,44,3,2019-06-13T12:16:37Z,0
