framework,projeto,imports
Android,exallium/RxRecyclerView,1.18
Android,torryharris/Skycons,0.68
Android,chentao0707/SettingView,2.47
Android,alt236/Bluetooth-LE-Library---Android,0.66
Android,yazhidev/Practice,1.29
Android,qkxyjren/LikeView,3.29
Android,toddway/ListOfThings,0.98
Android,hongyangAndroid/android-percent-support-extend,1.88
Android,jacek-marchwicki/JavaWebsocketClient,0.22
Android,codeka/wwmmo,0.30
Android,sphinx02/AppStarter,2.64
Android,sockeqwe/mosby,0.30
Android,D-clock/AndroidStudyCode,3.44
Android,milaptank/SpannableTextView,4.67
Android,senzhk/ADBKeyBoard,10.00
Android,brianwernick/ExoMedia,1.30
Android,seatgeek/android-PlacesAutocompleteTextView,0.63
Android,manmal/hn-android,1.67
Android,codesoup/android-cubic-bezier-interpolator,2.00
Android,anzaizai/EasyRefreshLayout,2.04
Android,jshvarts/OfflineSampleApp,1.11
Android,tokudu/AndroidPushNotificationsDemo,7.67
Android,ShawnLin013/NumberPicker,11.33
Android,florina-muntenescu/MVPvsMVVM,0.55
Android,NikoYuwono/ToolbarPanel,2.71
Android,tyczj/MapNavigator,0.60
Android,penglu20/Bigbang,1.16
Android,MiEcosystem/NewXmPluginSDK,0.93
Android,xxxyanchenxxx/QqDecrpt,1.56
Android,frostwire/frostwire,0.20
Android,gowong/material-sheet-fab,2.12
Android,kaelaela/OpenGraphView,1.78
Android,blazsolar/HorizontalPicker,18.00
Android,omkarmoghe/Pokemap,4.43
Android,nshmura/RecyclerTabLayout,1.86
Android,CoXier/LowPoly,1.83
Android,AppLozic/Applozic-Android-SDK,0.78
Android,maksim88/PasswordEditText,10.50
Android,HITGIF/TextFieldBoxes,4.45
Android,payatu/diva-android,1.76
Android,requery/sqlite-android,1.11
Android,uber/rave,0.03
Android,JakeWharton/SwipeToDismissNOA,4.33
Android,JorenSix/TarsosDSP,0.04
Android,tarek360/RichPath,1.87
Android,MOLO17/CustomizableCalendar,0.73
Android,quiqueqs/BabushkaText,9.50
Android,Beseting/PhotoBrowse,1.80
Android,markzhai/init,0.68
Android,47deg/appsly-android-rest,0.43
Android,LuckyJayce/GuideHelper,8.50
Android,consenlabs/token-core-android,0.06
Android,Xiaofei-it/Hermes,0.42
Android,orhanobut/bee,1.19
Android,omadahealth/CircularBarPager,3.44
Android,MartinRGB/GiftCard-Android,4.75
Android,tibi1712/FoldingNavigationDrawer-Android,3.33
Android,cattong/YiBo,0.30
Android,ksvc/KSYStreamer_Android,0.83
Android,ruboto/ruboto-irb,2.33
Android,aliyun/alicloud-android-demo,1.19
Android,sbakhtiarov/gif-movie-view,5.50
Android,google/android-classyshark,0.18
Android,pavlospt/RxFile,6.50
Android,ricknout/lens-launcher,2.46
Android,sdwfqin/AndroidQuick,0.67
Android,hitherejoe/Notifi,1.40
Android,andrebts/login-basics,5.00
Android,tvbarthel/ChaseWhisplyProject,0.77
Android,matthewrkula/AnimatedPathView,5.00
Android,yewei02538/HiPermission,3.08
Android,kaaes/spotify-web-api-android,0.39
Android,jaikydota/Android-ImagesPickers,2.61
Android,AndroidMsky/RandomTextView,2.00
Android,yaa110/Piclice,3.18
Android,AlexKorovyansky/android-fb-like-slideout-navigation,3.86
Android,linroid/FilterMenu,5.86
Android,flavienlaurent/singleinputform,18.00
Android,cping/LGame,0.02
Android,ww6015132/SilkySignature,1.79
Android,iDevicesInc/SweetBlue,0.28
Android,vikramkakkar/ImageTransition,3.29
Android,mikepenz/ItemAnimators,0.90
Android,andraskindler/quickscroll,2.35
Android,ganyao114/SandHook,0.17
Android,MindorksOpenSource/AndroidTensorFlowMNISTExample,2.25
Android,hitherejoe/AndroidTvBoilerplate,1.14
Android,z56402344/AnimTextView,5.00
Android,codekidX/storage-chooser,2.12
Android,lukaspili/Reactive-Billing,1.00
Android,jiang111/ProgressView,2.83
Android,TakuSemba/MultiSnapRecyclerView,1.22
Android,Slyce-Inc/SlyceMessaging,0.91
Android,mkch/android-wifi-connecter,3.27
Android,xiongwei-git/GankApp,2.75
