framework,project,java,properties,jar,build.gradle,pom.xml,manifest.xml,xml,bat,md,adoc,README,yaml,txt,sh,travis.yml,yml,cmd,kt,json,others,numberOfFiles
Android,fighter-lee/EasyMqtt,114,2,1,3,0,2,12,1,1,0,1,0,0,0,0,0,0,0,0,13,147
Android,liuling07/SimpleNews,58,2,2,3,0,2,34,1,1,0,1,0,0,0,0,0,0,0,0,63,164
Android,k0shk0sh/FastAccess,145,1,1,3,0,2,178,1,1,0,1,0,0,0,0,0,0,0,0,49,379
Android,gitskarios/GithubAndroidSdk,284,1,1,1,1,1,3,1,2,0,1,0,0,0,1,1,0,0,0,1,295
Android,SkyTreasure/Airbnb-Android-Google-Map-View,28,5,2,2,0,1,80,1,1,0,1,0,0,0,0,0,0,0,0,169,288
Android,lizhangqu/Camera,7,2,1,2,0,1,9,1,1,0,1,0,0,0,0,0,0,0,0,6,29
Android,YuanClouds/WaveView,7,1,1,3,0,2,22,1,1,0,1,0,0,0,1,1,0,0,0,10,47
Android,Yuphee/RewardLayout,13,2,1,3,0,2,19,1,1,0,1,0,0,0,0,1,0,0,0,30,71
Android,OCNYang/RecyclerViewEvent,11,2,1,2,0,1,25,1,1,0,1,0,0,0,0,0,0,0,0,12,55
Android,kryptco/krypton-android,257,2,0,3,0,1,144,1,3,0,1,0,1,1,0,0,0,0,2,144,558
Android,redbear/Duo,114,3,2,5,0,4,83,1,37,0,17,0,3,2,0,0,0,0,89,641,980
Android,firefly1126/android_permission_aspectjx,15,2,1,3,0,2,17,1,1,0,1,0,1,0,0,0,0,3,0,12,56
Android,gotev/android-speech,23,5,3,4,0,2,8,3,1,0,1,0,0,0,1,1,0,0,0,15,63
Android,kiwi-bop/flutter_crashlytics,5,3,1,3,0,2,4,1,4,0,3,2,0,0,0,0,0,0,2,48,73
Android,maksim88/PasswordEditText,2,2,1,3,0,2,13,1,2,0,1,0,0,0,0,0,0,0,0,9,33
Android,Cleveroad/WaveInApp,37,3,1,4,0,3,26,0,4,0,1,0,0,0,0,0,0,0,0,31,106
Android,soundcloud/lightcycle,71,5,1,7,0,4,20,1,3,0,1,0,1,1,1,1,0,0,0,15,126
Android,Piasy/BigImageViewer,39,2,1,8,0,7,21,1,2,0,1,0,0,0,0,0,0,0,0,25,99
Android,gorbin/ASNE,48,8,8,10,0,9,30,1,1,0,1,0,1,0,0,0,0,0,0,88,195
Android,qyxxjd/CommonAdapter,20,2,1,3,0,2,17,1,1,0,1,0,1,0,0,0,0,0,0,16,62
Android,tosslife/FlyTxtView,2,1,2,0,0,1,12,0,1,0,1,0,1,0,0,0,0,0,0,9,28
Android,ren93/RecyclerBanner,17,2,1,3,0,2,24,1,1,0,1,0,0,0,0,0,0,0,0,27,76
Android,baoyachi/StepView,15,2,1,3,0,2,29,1,2,0,1,0,0,0,0,0,0,0,0,29,82
Android,tsy12321/BaseAndroidProject,37,2,2,4,0,3,12,1,3,0,3,0,0,0,0,0,0,0,0,9,70
Android,zhlucky/SaleProgressView,4,2,1,2,0,1,13,1,1,0,1,0,0,0,0,0,0,0,0,10,34
Android,tito/2048,6,3,2,0,0,2,71,0,1,0,1,0,2,0,0,0,0,0,0,109,194
Android,davebren/ResourceNestingExample,1,2,1,2,0,1,4,1,1,0,1,0,1,0,0,0,0,0,0,3,16
Android,NikoYuwono/ToolbarPanel,7,2,1,2,0,2,20,1,2,0,1,0,0,0,0,0,0,0,0,8,43
Android,manmal/hn-android,55,3,3,2,0,1,40,2,1,0,1,0,0,0,0,0,0,0,0,73,179
Android,wirecube/android_additive_animations,48,3,1,3,0,2,24,1,1,0,1,0,0,0,0,0,0,0,0,15,96
Android,jshvarts/OfflineSampleApp,35,2,1,2,0,1,11,1,1,0,1,0,0,0,1,1,0,0,0,15,69
Android,don/cordova-plugin-ble-central,5,0,0,0,0,0,11,0,19,0,19,0,2,0,0,0,0,0,1,37,75
