framework,date,2661
Android,0,1027
Android,602,
Android,717,
Android,1038,
Android,1048,
Android,1453,
Android,1463,
Android,1485,
Android,1494,
Android,1503,
Android,1546,
Android,1687,
Android,1741,
Android,1776,
Android,1803,
Android,1811,
Android,1811,
Android,1825,
Android,1838,
Android,1841,
Android,1847,
Android,1851,
Android,1852,
Android,1856,
Android,1860,
Android,1868,
Android,1876,
Android,1881,
Android,1883,
Android,1888,
Android,1890,
Android,1896,
Android,1898,
Android,1910,
Android,1914,
Android,1918,
Android,1919,
Android,1926,
Android,1926,
Android,1931,
Android,1932,
Android,1937,
Android,1942,
Android,1945,
Android,1954,
Android,1958,
Android,1959,
Android,1961,
Android,1963,
Android,1970,
Android,1974,
Android,1974,
Android,1975,
Android,1978,
Android,1978,
Android,1984,
Android,1985,
Android,1991,
Android,1992,
Android,1993,
Android,1993,
Android,1994,
Android,2001,
Android,2003,
Android,2007,
Android,2015,
Android,2015,
Android,2016,
Android,2020,
Android,2023,
Android,2025,
Android,2027,
Android,2030,
Android,2034,
Android,2036,
Android,2038,
Android,2039,
Android,2041,
Android,2043,
Android,2043,
Android,2049,
Android,2051,
Android,2056,
Android,2057,
Android,2058,
Android,2059,
Android,2059,
Android,2059,
Android,2062,
Android,2063,
Android,2064,
Android,2067,
Android,2068,
Android,2069,
Android,2070,
Android,2071,
Android,2071,
Android,2072,
Android,2073,
Android,2073,
Android,2073,
Android,2074,
Android,2076,
Android,2076,
Android,2077,
Android,2077,
Android,2077,
Android,2080,
Android,2082,
Android,2082,
Android,2083,
Android,2085,
Android,2086,
Android,2086,
Android,2086,
Android,2087,
Android,2087,
Android,2089,
Android,2092,
Android,2092,
Android,2093,
Android,2093,
Android,2093,
Android,2094,
Android,2094,
Android,2095,
Android,2097,
Android,2097,
Android,2097,
Android,2098,
Android,2098,
Android,2100,
Android,2101,
Android,2101,
Android,2101,
Android,2104,
Android,2105,
Android,2106,
Android,2109,
Android,2111,
Android,2113,
Android,2116,
Android,2118,
Android,2119,
Android,2120,
Android,2121,
Android,2123,
Android,2124,
Android,2124,
Android,2125,
Android,2126,
Android,2129,
Android,2132,
Android,2133,
Android,2133,
Android,2134,
Android,2138,
Android,2139,
Android,2141,
Android,2141,
Android,2141,
Android,2145,
Android,2146,
Android,2147,
Android,2153,
Android,2156,
Android,2161,
Android,2164,
Android,2168,
Android,2169,
Android,2170,
Android,2173,
Android,2173,
Android,2173,
Android,2175,
Android,2177,
Android,2179,
Android,2180,
Android,2181,
Android,2182,
Android,2187,
Android,2189,
Android,2191,
Android,2191,
Android,2193,
Android,2194,
Android,2194,
Android,2202,
Android,2204,
Android,2204,
Android,2204,
Android,2205,
Android,2207,
Android,2207,
Android,2209,
Android,2209,
Android,2209,
Android,2209,
Android,2210,
Android,2210,
Android,2210,
Android,2211,
Android,2211,
Android,2212,
Android,2214,
Android,2217,
Android,2219,
Android,2221,
Android,2225,
Android,2226,
Android,2230,
Android,2232,
Android,2233,
Android,2233,
Android,2237,
Android,2239,
Android,2239,
Android,2240,
Android,2244,
Android,2244,
Android,2248,
Android,2252,
Android,2256,
Android,2257,
Android,2258,
Android,2258,
Android,2258,
Android,2259,
Android,2261,
Android,2263,
Android,2266,
Android,2267,
Android,2267,
Android,2272,
Android,2273,
Android,2273,
Android,2274,
Android,2275,
Android,2276,
Android,2279,
Android,2279,
Android,2279,
Android,2282,
Android,2283,
Android,2285,
Android,2285,
Android,2286,
Android,2287,
