framework,nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
Android,UniversalVideoView,94,60,34,0,10,15,8,4,1,1,10,4,0,0,3,2,23,20,1,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Spring,poli,2549,611,1541,397,21,486,84,25,0,0,0,0,13,1,0,0,16,3,14,3,102,0,102,0,0,2,2,16,6,2,6,1,0,0,0,0,46,6,1836
Spring,spring-boot-student,1432,688,736,8,13,869,380,177,32,32,0,0,112,36,0,0,145,54,0,0,29,0,29,0,0,8,7,0,0,0,0,0,31,31,0,0,0,0,141
Spring,Activiti,88927,20271,52864,15792,106,57482,15246,716,20,10,0,0,4959,203,0,0,14367,4394,15,5,113,278,391,7,1,198,80,96,74,16,18,8,0,0,0,0,324,134,15293
Spring,spring-security-oauth,8646,1272,7115,259,28,5171,1308,77,2,2,0,0,2327,39,0,0,2683,150,0,0,139,2,141,0,0,16,14,0,0,10,54,22,4,2,0,0,1,1,497
Spring,spring-guide,350,130,199,21,11,205,125,1,1,1,0,0,20,3,0,0,20,3,0,0,43,0,43,1,1,0,0,0,0,0,67,11,1,1,0,0,0,0,11
Spring,dubbo-spring-boot-mybatis-redis,88,85,3,0,9,18,18,3,0,0,0,0,8,8,0,0,16,16,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
Spring,Mapper,2804,578,2090,136,13,1813,601,16,0,0,0,0,430,16,0,0,542,53,0,0,359,0,359,0,0,1,1,0,0,4,1,1,0,0,0,0,0,0,72
Spring,gs-uploading-files,689,73,590,26,14,68,24,29,18,5,168,2,170,2,0,0,170,2,8,3,86,86,172,0,0,7,4,3,2,4,0,0,4,2,0,0,0,0,42
Spring,springcloud,145,95,42,8,10,42,33,30,0,0,0,0,31,17,0,0,31,17,0,0,24,0,24,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,15
