framework,projeto,contribuidores_do_framework,contribuidores_do_projeto,contribuidores_comum
Android,exallium/RxRecyclerView,3268,2,0
Android,torryharris/Skycons,3268,7,0
Android,chentao0707/SettingView,3268,2,0
Android,alt236/Bluetooth-LE-Library---Android,3268,4,0
Android,yazhidev/Practice,3268,4,0
Android,qkxyjren/LikeView,3268,2,0
Android,toddway/ListOfThings,3268,1,0
Android,hongyangAndroid/android-percent-support-extend,3268,2,0
Android,jacek-marchwicki/JavaWebsocketClient,3268,1,0
Android,codeka/wwmmo,3268,3,0
Android,sphinx02/AppStarter,3268,1,0
Android,sockeqwe/mosby,3268,45,0
Android,D-clock/AndroidStudyCode,3268,1,0
Android,milaptank/SpannableTextView,3268,1,0
Android,senzhk/ADBKeyBoard,3268,3,0
Android,brianwernick/ExoMedia,3268,27,0
Android,seatgeek/android-PlacesAutocompleteTextView,3268,8,1
Android,manmal/hn-android,3268,20,0
Android,codesoup/android-cubic-bezier-interpolator,3268,2,0
Android,anzaizai/EasyRefreshLayout,3268,1,0
Android,jshvarts/OfflineSampleApp,3268,2,0
Android,tokudu/AndroidPushNotificationsDemo,3268,2,0
Android,ShawnLin013/NumberPicker,3268,9,0
Android,florina-muntenescu/MVPvsMVVM,3268,3,0
Android,NikoYuwono/ToolbarPanel,3268,3,0
Android,tyczj/MapNavigator,3268,7,0
Android,penglu20/Bigbang,3268,5,0
Android,MiEcosystem/NewXmPluginSDK,3268,22,0
Android,xxxyanchenxxx/QqDecrpt,3268,2,0
Android,frostwire/frostwire,3268,22,0
Android,gowong/material-sheet-fab,3268,2,0
Android,kaelaela/OpenGraphView,3268,3,0
Android,blazsolar/HorizontalPicker,3268,3,0
Android,omkarmoghe/Pokemap,3268,53,0
Android,nshmura/RecyclerTabLayout,3268,6,0
Android,CoXier/LowPoly,3268,1,0
Android,AppLozic/Applozic-Android-SDK,3268,22,0
Android,maksim88/PasswordEditText,3268,1,0
Android,HITGIF/TextFieldBoxes,3268,10,0
Android,payatu/diva-android,3268,2,0
Android,requery/sqlite-android,3268,13,0
Android,uber/rave,3268,9,0
Android,JakeWharton/SwipeToDismissNOA,3268,3,0
Android,JorenSix/TarsosDSP,3268,20,0
Android,tarek360/RichPath,3268,4,0
Android,MOLO17/CustomizableCalendar,3268,6,0
Android,quiqueqs/BabushkaText,3268,3,0
Android,Beseting/PhotoBrowse,3268,3,0
Android,markzhai/init,3268,2,0
Android,47deg/appsly-android-rest,3268,12,0
Android,LuckyJayce/GuideHelper,3268,2,0
Android,consenlabs/token-core-android,3268,2,0
Android,Xiaofei-it/Hermes,3268,2,0
Android,orhanobut/bee,3268,4,0
Android,omadahealth/CircularBarPager,3268,11,0
Android,MartinRGB/GiftCard-Android,3268,3,0
Android,tibi1712/FoldingNavigationDrawer-Android,3268,1,0
Android,cattong/YiBo,3268,2,0
Android,ksvc/KSYStreamer_Android,3268,17,0
Android,ruboto/ruboto-irb,3268,18,0
Android,aliyun/alicloud-android-demo,3268,18,0
Android,sbakhtiarov/gif-movie-view,3268,2,0
Android,google/android-classyshark,3268,15,0
Android,pavlospt/RxFile,3268,6,0
Android,ricknout/lens-launcher,3268,7,0
Android,sdwfqin/AndroidQuick,3268,1,0
Android,hitherejoe/Notifi,3268,1,0
Android,andrebts/login-basics,3268,3,0
Android,tvbarthel/ChaseWhisplyProject,3268,5,0
Android,matthewrkula/AnimatedPathView,3268,2,0
Android,yewei02538/HiPermission,3268,3,0
Android,kaaes/spotify-web-api-android,3268,13,0
Android,jaikydota/Android-ImagesPickers,3268,2,0
Android,AndroidMsky/RandomTextView,3268,2,0
Android,yaa110/Piclice,3268,1,0
Android,AlexKorovyansky/android-fb-like-slideout-navigation,3268,2,0
Android,linroid/FilterMenu,3268,2,0
Android,flavienlaurent/singleinputform,3268,1,0
Android,cping/LGame,3268,2,0
Android,ww6015132/SilkySignature,3268,3,0
Android,iDevicesInc/SweetBlue,3268,15,0
Android,vikramkakkar/ImageTransition,3268,1,0
Android,mikepenz/ItemAnimators,3268,3,0
Android,andraskindler/quickscroll,3268,5,0
Android,ganyao114/SandHook,3268,3,0
Android,MindorksOpenSource/AndroidTensorFlowMNISTExample,3268,3,0
Android,hitherejoe/AndroidTvBoilerplate,3268,1,0
