framework,projeto,readability
Android,tokudu/AndroidPushNotificationsDemo,0.0
Android,ShawnLin013/NumberPicker,0.0
Android,blazsolar/HorizontalPicker,0.0
Android,maksim88/PasswordEditText,0.0
Android,JakeWharton/SwipeToDismissNOA,0.0
Android,quiqueqs/BabushkaText,0.0
Android,LuckyJayce/GuideHelper,0.0
Android,matthewrkula/AnimatedPathView,0.0
Android,jpardogo/FlabbyListView,0.0
Android,chariotsolutions/phonegap-nfc,0.0
Android,ihsanbal/Wiv,0.0
Android,grantland/android-autofittextview,0.0
Android,MindorksOpenSource/AndroidTensorFlowMNISTExample,0.0010489248504330004
Android,fornana/swipeitemlayout,0.0018820261152891012
Android,Catrobat/Catroid,0.0020852483787309087
Spring,apache/dubbo-admin,0.002134107309096985
Android,androidthings/sample-tensorflow-imageclassifier,0.0021399726501840632
Android,slymax/webview,0.0024603449273854494
Spring,sofastack/sofa-registry,0.002677247568486795
Android,yaa110/Piclice,0.0034834780017263256
Android,AlexKorovyansky/android-fb-like-slideout-navigation,0.004528325686502892
Spring,sofastack/sofa-tracer,0.006633726838695378
Android,vector-im/riot-android,0.007613707568795819
Android,linglongxin24/WelcomeVideoPager,0.008318122136794651
Spring,opentracing-contrib/java-spring-cloud,0.008911380300368796
Android,exallium/RxRecyclerView,0.009576122974976897
Spring,eclipse/hono,0.01023751537782347
Android,andraskindler/quickscroll,0.010393606044664537
Android,ManuelPeinado/ImageLayout,0.010555116794421338
Android,nanchen2251/CoordinatorAppBarDemo,0.01089116893854225
Android,tekinarslan/AndroidMaterialDesignToolbar,0.011483207809214946
Spring,adobe/S3Mock,0.011697175763700097
Spring,spring-cloud/spring-cloud-sleuth,0.011953980992406929
Android,brianwernick/ExoMedia,0.012241647864654872
Android,requery/sqlite-android,0.01268043986056
Android,z56402344/AnimTextView,0.01366395503282547
Android,openid/AppAuth-Android,0.013730122520174
Android,lessthanoptimal/BoofCV,0.014124836624200814
Android,wrapp-archive/floatlabelededittext,0.014360085129737854
Spring,joshlong/boot-examples,0.014994308549480943
Android,ankushsachdeva/emojicon,0.015929469228467497
Android,easymock/easymock,0.01790954864604254
Android,emotionsense/SensorManager,0.019355866910631143
Android,arturogutierrez/Badges,0.020500113000161947
Android,jacek-marchwicki/JavaWebsocketClient,0.02250391894319494
Android,sbakhtiarov/gif-movie-view,0.023034876212477684
Android,mkch/android-wifi-connecter,0.025018593296408653
Spring,cloudfoundry/java-buildpack-auto-reconfiguration,0.025622155651078737
Android,47deg/appsly-android-rest,0.028224645801046416
Spring,ordina-jworks/microservices-dashboard,0.028663727924354402
Android,hnvn/flutter_image_cropper,0.029416692753632862
Android,ksvc/KSYStreamer_Android,0.031255675830881305
Android,kaaes/spotify-web-api-android,0.03303551272150851
Android,google/android-classyshark,0.03443231139102532
Android,payatu/diva-android,0.03486975538835395
Android,ksvc/KSYLive_Android,0.03557879245335492
Android,tvbarthel/ChaseWhisplyProject,0.03652543118302922
Android,omkarmoghe/Pokemap,0.03768220526399091
Android,yanzhenjie/NoHttp,0.039327571269580704
Android,tyczj/MapNavigator,0.03934047371149063
Spring,nonocast/todolist,0.04621133718334951
Android,cattong/YiBo,0.04633866288808371
Android,codeka/wwmmo,0.0464591168628956
