framework,projeto,caminho,versao,delay,Data do commit,hora,data da versao,data,hora,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/man_android_demo/build.gradle,21,357,Data do commit: 2015-10-09, 12:16:49,Data de lancamento da versao,2014-10-17, 00:00:00,138
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/man_android_demo/build.gradle,23,64,Data do commit: 2015-10-20, 14:51:53,Data de lancamento da versao,2015-08-17, 00:00:00,9
Android,tvbarthel/ChaseWhisplyProject,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tvbarthel/ChaseWhisplyProject/ChaseWhisply/build.gradle,24,118,Data do commit: 2016-10-11, 08:36:46,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,nicolasjafelle/PagingListView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nicolasjafelle/PagingListView/PagingListViewProject/PagingListView/build.gradle,22,81,Data do commit: 2015-05-29, 19:22:11,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,nicolasjafelle/PagingListView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nicolasjafelle/PagingListView/PagingListViewProject/PagingListViewSample/build.gradle,22,81,Data do commit: 2015-05-29, 19:22:11,Data de lancamento da versao,2015-03-09, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,25,31,Data do commit: 2016-12-23, 14:59:45,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,23,494,Data do commit: 2016-12-23, 00:44:03,Data de lancamento da versao,2015-08-17, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,25,35,Data do commit: 2016-12-27, 21:21:39,Data de lancamento da versao,2016-11-22, 00:00:00,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,24,269,Data do commit: 2017-03-12, 00:51:24,Data de lancamento da versao,2016-06-15, 00:00:00,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/lib/build.gradle,22,101,Data do commit: 2015-06-18, 11:52:11,Data de lancamento da versao,2015-03-09, 00:00:00,
