framework,projeto,caminho,versao,delay,Data do commit,hora,data da versao,data,hora
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.1.1.RELEASE,6,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.1.5.RELEASE,15,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.1.7.RELEASE,15,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.1.9.RELEASE,19,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.2.2.RELEASE,0,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.2.7.RELEASE,6,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/xml/pom.xml,1.3.5.RELEASE,24,,,,,
Spring,nosqlcoco/springboot-weapp-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nosqlcoco/springboot-weapp-demo/pom.xml,1.4.2.RELEASE,1,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.1.1.RELEASE,6,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.1.5.RELEASE,15,,,,,
