nameProject,total,add,modify,delete,tipoDistinct,java,javaDistinct,properties,jar,jarDistinct,build.gradle,buildDistinct,pom.xml,pomDistinct,manifest.xml,manifestDistinct,xml,xmlDistinct,bat,batDistinct,md,adoc,read,yaml,yamlDistinct,txt,txtDistinct,sh,shDistinct,travisyml,yml,ymlDistinct,cmd,cmdDistinct,kt,ktDistinct,json,jsonDistinct,other
skadyrov/android-autofittextview,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
warot/android-autofittextview,7,1,6,0,2,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
codlab/android-autofittextview,2,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PulfordJ/android-autofittextview,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wimanwifi/android-autofittextview,5,0,5,0,2,2,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perrystreetsoftware/android-autofittextview,11,7,4,0,7,2,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ndori/android-autofittextview,3,0,3,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrangeGangsters/android-autofittextview,4,0,4,0,2,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In-Loco-Media/android-autofittextview,10,5,5,0,6,4,2,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
tpom6oh/android-autofittextview,9,1,8,0,2,5,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diegothinkr/android-autofittextview,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rburgst/android-autofittextview,8,2,5,1,4,3,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ajaykoppisetty/ImageLayout,53,22,10,21,13,11,11,6,1,1,5,5,0,0,2,2,3,3,1,1,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,23
AndyScherzinger/ImageLayout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
afeilo/SlidingLayout,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YuzurihaInori/SlidingLayout,5,0,4,1,3,1,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baidingpan/Recyclerview-Gallery,13,0,13,0,4,7,7,2,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aBenVip/Recyclerview-Gallery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yyxyz/AndroidMaterialDesignToolbar,19,0,19,0,3,8,8,0,0,0,0,0,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
zhanlian/AndroidMaterialDesignToolbar,317,150,23,144,13,46,25,2,6,3,5,2,2,1,12,6,56,29,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,194
soltrinox/AndroidMaterialDesignToolbar,17,5,12,0,4,3,3,0,0,0,1,1,0,0,1,1,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
tamzi/TintLayout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fe-Ordan/TintLayout,2,0,2,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIGAMOLE/TintLayout,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zhongwcool/ScreenRecorder,47,31,6,10,9,8,8,2,1,1,3,3,0,0,0,0,15,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
aaronshawcs/BoofCV,3,0,3,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yannickhildebrandt/BoofCV,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ForeverAct/BoofCV,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pacozaa/BoofCV,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jooink/BoofCV,24,0,24,0,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nrghhh/BoofCV,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hzqhssn/BoofCV,23544,3613,18416,1515,32,21862,5963,5,61,8,65,21,59,12,3,1,187,55,0,0,6,0,6,0,0,447,52,4,4,0,0,0,0,0,0,0,0,0,907
silenzio777/BoofCV,23538,3613,18410,1515,32,21862,5963,5,61,8,65,21,59,12,3,1,187,55,0,0,5,0,5,0,0,442,52,4,4,0,0,0,0,0,0,0,0,0,907
devdimager/BoofCV,23436,3607,18315,1514,32,21810,5953,4,61,8,54,21,59,12,3,1,184,54,0,0,3,0,3,0,0,425,49,4,4,0,0,0,0,0,0,0,0,0,891
amirhadad/BoofCV,22986,3517,18025,1444,28,21582,5901,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,400,43,4,4,0,0,0,0,0,0,0,0,0,775
benamika/BoofCV,22980,3517,18019,1444,28,21576,5901,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,400,43,4,4,0,0,0,0,0,0,0,0,0,775
flobba/BoofCV,22970,3515,18011,1444,28,21566,5899,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,400,43,4,4,0,0,0,0,0,0,0,0,0,775
basitali89hfi/BoofCV,22931,3508,17982,1441,28,21528,5890,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,400,43,4,4,0,0,0,0,0,0,0,0,0,774
fars/BoofCV,22931,3508,17982,1441,28,21528,5890,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,400,43,4,4,0,0,0,0,0,0,0,0,0,774
hjwhang/BoofCV,22823,3498,17884,1441,28,21427,5879,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,396,43,4,4,0,0,0,0,0,0,0,0,0,771
adomrockie/BoofCV,22735,3477,17821,1437,28,21340,5852,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,395,43,4,4,0,0,0,0,0,0,0,0,0,771
resw/BoofCV,22640,3464,17740,1436,28,21252,5835,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,390,43,4,4,0,0,0,0,0,0,0,0,0,769
tarang681992/BoofCV,22640,3464,17740,1436,28,21252,5835,3,55,8,0,0,59,12,3,1,167,49,0,0,0,0,0,0,0,390,43,4,4,0,0,0,0,0,0,0,0,0,769
elialshan/BoofCV,22036,3327,17288,1421,28,20730,5669,3,55,8,0,0,38,12,1,1,127,38,0,0,0,0,0,0,0,368,42,4,4,0,0,0,0,0,0,0,0,0,749
registerpoint/BoofCV,22000,3327,17252,1421,28,20713,5665,3,53,8,0,0,27,12,1,1,116,38,0,0,0,0,0,0,0,365,42,4,4,0,0,0,0,0,0,0,0,0,746
tom-adsfund/BoofCV,21570,3289,16864,1417,28,20326,5617,3,53,8,0,0,15,1,1,1,103,27,0,0,0,0,0,0,0,344,42,4,4,0,0,0,0,0,0,0,0,0,737
simon-heinen/BoofCV,21540,3286,16841,1413,28,20298,5611,3,53,8,0,0,15,1,1,1,103,27,0,0,0,0,0,0,0,343,42,4,4,0,0,0,0,0,0,0,0,0,736
luxigo/BoofCV,21373,3276,16686,1411,28,20145,5601,3,51,8,0,0,14,1,1,1,102,27,0,0,0,0,0,0,0,334,42,4,4,0,0,0,0,0,0,0,0,0,734
SimonTomazic/BoofCV,21118,3266,16442,1410,28,19894,5587,3,51,8,0,0,14,1,1,1,102,27,0,0,0,0,0,0,0,331,42,4,4,0,0,0,0,0,0,0,0,0,733
agamsarup/BoofCV,20680,3204,16076,1400,28,19465,5512,3,51,8,0,0,14,1,1,1,102,27,0,0,0,0,0,0,0,323,42,4,4,0,0,0,0,0,0,0,0,0,732
tingfan/BoofCV,20602,3201,16001,1400,28,19390,5506,3,49,8,0,0,14,1,1,1,102,27,0,0,0,0,0,0,0,322,42,4,4,0,0,0,0,0,0,0,0,0,732
vilalge/BoofCV,20602,3201,16001,1400,28,19390,5506,3,49,8,0,0,14,1,1,1,102,27,0,0,0,0,0,0,0,322,42,4,4,0,0,0,0,0,0,0,0,0,732
Sciumo/BoofCV,20038,3118,15538,1382,28,18863,5412,3,46,8,0,0,12,1,1,1,95,25,0,0,0,0,0,0,0,310,42,4,4,0,0,0,0,0,0,0,0,0,717
zehsilva/BoofCV,19823,3056,15388,1379,28,18668,5343,3,44,8,0,0,10,1,1,1,92,25,0,0,0,0,0,0,0,304,42,4,4,0,0,0,0,0,0,0,0,0,708
dewmal/BoofCV,19457,2972,15110,1375,28,18364,5263,3,38,7,0,0,9,1,1,1,85,23,0,0,0,0,0,0,0,285,41,4,4,0,0,0,0,0,0,0,0,0,678
bibulle/BoofCV,19450,2971,15104,1375,28,18357,5262,3,38,7,0,0,9,1,1,1,85,23,0,0,0,0,0,0,0,285,41,4,4,0,0,0,0,0,0,0,0,0,678
