framework,projeto,fork,base_commit,behind_by,ahead_by,,,android,spring,% android,%spring
Android,gowong/material-sheet-fab,masc3d/material-sheet-fab,eb603241e3250c20cde1af33ddcd8b60a61db279,1,9757,,1,524,465,"41,8196328810854","47,9381443298969"
Android,Catrobat/Catroid,manasdadheech/Catroid,c3f555eec9c45db80a79eb426155b2859176b3c3,11369,4836,,2-3,314,288,"25,0598563447725","29,6907216494845"
Android,Catrobat/Catroid,efamiliar/Catroid,c3f555eec9c45db80a79eb426155b2859176b3c3,11369,4819,,4-10,207,134,"16,5203511572227","13,8144329896907"
Android,Catrobat/Catroid,pocket7878/Catroid,c3f555eec9c45db80a79eb426155b2859176b3c3,11369,4610,,>10,208,83,"16,6001596169194","8,55670103092784"
Android,Catrobat/Catroid,crayons/Catroid,c3f555eec9c45db80a79eb426155b2859176b3c3,11369,4423,,,1253,970,100,100
Android,Catrobat/Catroid,simgeszgn/Catroid,c3f555eec9c45db80a79eb426155b2859176b3c3,11369,3736,,,,,,
Android,Catrobat/Catroid,denisehoo/Catroid,c3f555eec9c45db80a79eb426155b2859176b3c3,11369,3736,,,,,,
Android,lessthanoptimal/BoofCV,hzqhssn/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,984,,"47,9381443298969","29,6907216494845","13,8144329896907","8,55670103092784",
Android,lessthanoptimal/BoofCV,silenzio777/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,982,,,,,,
Android,lessthanoptimal/BoofCV,devdimager/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,961,,,,,,
Android,lessthanoptimal/BoofCV,amirhadad/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,920,,,,,,
Android,lessthanoptimal/BoofCV,benamika/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,918,,,,,,
Android,lessthanoptimal/BoofCV,flobba/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,917,,,,,,
Android,lessthanoptimal/BoofCV,basitali89hfi/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,911,,,,,,
Android,lessthanoptimal/BoofCV,fars/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,911,,,,,,
Android,lessthanoptimal/BoofCV,hjwhang/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,907,,,,,,
Android,vector-im/riot-android,dinsic-pim/tchap-android,53b7da034c7e77033eb976db7594a0e6b1be9c55,1085,904,,,,,,
Android,lessthanoptimal/BoofCV,adomrockie/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,900,,,,,,
Android,lessthanoptimal/BoofCV,resw/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,891,,,,,,
Android,lessthanoptimal/BoofCV,tarang681992/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,891,,,,,,
Android,lessthanoptimal/BoofCV,elialshan/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,841,,,,,,
Android,lessthanoptimal/BoofCV,registerpoint/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,832,,,,,,
Android,lessthanoptimal/BoofCV,tom-adsfund/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,793,,,,,,
Android,lessthanoptimal/BoofCV,simon-heinen/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,789,,,,,,
Android,lessthanoptimal/BoofCV,luxigo/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,763,,,,,,
Android,lessthanoptimal/BoofCV,SimonTomazic/BoofCV,a6aaf09f81a6fe5b6b86bb7e79411c42bf40e48c,3580,753,,,,,,
