framework,projeto,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles
Android,Arjun-sna/android-permission-checker-app,26,26,26,25,123,1,118,2,0,0,0,0,53,1,8,173,0,224,206,72,207,0,65,28,7,107,0,1974,308,1600,798,622,67,0,0,0,928,1191,751,440,0,0,0,0,0,57,56,58,30,0,0,19,0,0,0,0,335,235,234,241,178,43
Android,fluttercommunity/flutter_downloader,18,18,20,9,106,6,93,3,0,0,0,0,13,4,42,59,0,59,55,35,59,0,1,22,1,35,0,1219,165,1031,441,648,23,0,0,0,602,748,394,354,0,0,0,0,0,54,54,66,11,0,0,12,0,0,0,0,17,149,149,166,61,11
Android,nanchen2251/CoordinatorAppBarDemo,12,12,13,11,97,6,72,15,0,0,0,0,20,5,13,87,0,90,85,67,90,0,2,12,5,71,0,1338,171,855,363,413,327,0,0,0,498,655,337,318,0,0,0,0,0,30,30,34,13,0,0,8,0,0,0,1,291,150,147,165,91,11
Android,ashqal/NightOwl,50,50,50,41,236,6,216,4,0,0,0,0,84,47,31,187,0,198,151,50,198,0,11,19,20,148,0,2675,428,1936,1069,753,312,0,0,0,1085,1465,946,519,0,0,0,0,0,99,98,101,56,0,0,37,0,0,0,4,1306,300,299,303,210,55
Android,MaksTuev/EasyAdapter,22,22,23,22,86,2,73,8,0,0,0,0,37,6,5,193,0,203,199,27,205,0,8,12,11,174,0,1921,296,1153,579,383,475,0,0,0,478,731,445,286,0,0,0,0,0,37,37,44,27,0,0,7,0,0,0,13,802,237,237,250,200,22
Android,markfguerra/GLWallpaperService,13,13,13,11,150,13,82,54,0,0,0,0,28,2,7,111,0,112,110,85,112,0,2,9,3,98,0,2034,318,1274,509,696,513,0,0,0,655,889,383,506,0,0,0,0,0,38,38,48,21,0,0,13,0,0,0,4,412,189,189,208,121,11
Android,MCMrARM/revolution-irc,350,346,396,245,1833,18,1773,8,0,0,0,0,511,266,445,2952,0,3028,2381,1396,2647,0,103,301,160,2083,0,35746,5330,30213,11333,17450,265,0,0,0,16774,22934,10395,12539,0,0,0,0,0,1230,1219,1474,609,0,0,401,0,0,0,0,346,5928,5886,6629,3672,228
Android,markushi/android-circlebutton,2,2,2,2,12,0,10,0,0,0,0,0,3,0,4,17,0,17,17,11,17,0,0,4,3,10,0,192,42,150,64,71,0,0,0,0,93,117,58,59,0,0,0,0,0,6,6,6,2,0,0,2,0,0,0,0,0,22,22,22,17,2
Android,Sloy/preferator,9,9,9,9,49,0,42,1,0,0,0,0,23,2,0,67,0,73,71,12,73,0,6,10,1,56,0,537,120,416,160,164,1,0,0,0,187,281,177,104,0,0,0,0,0,21,21,21,9,0,0,12,0,0,0,0,17,79,79,79,67,9
Android,haseman/Android-AR-Kit,19,17,19,7,113,4,103,4,0,0,0,0,15,0,8,43,0,43,43,41,43,0,0,7,1,35,0,979,94,650,223,339,244,0,0,0,363,471,229,242,0,0,0,0,0,44,40,46,9,0,0,20,0,0,0,0,103,100,96,105,45,9
