framework,projeto,caminho,versao,,vesoes,repeticoes,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-21-1/pom.xml,1.4.0.RELEASE,,2.1.6.RELEASE,3,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-22-1/pom.xml,1.4.0.RELEASE,,2.2.0.RELEASE,1,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-23-1/pom.xml,1.4.0.RELEASE,,,,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-24-1/pom.xml,1.4.0.RELEASE,,,,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-25-1/pom.xml,1.4.0.RELEASE,,,,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-27-1/pom.xml,1.4.0.RELEASE,,,,,,
Spring,ysrc/Liudao,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ysrc/Liudao/pom.xml,1.4.0.RELEASE,,,,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-28-1/pom.xml,1.4.1.RELEASE,,,,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-29-1/pom.xml,1.4.1.RELEASE,,,,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-30-1/pom.xml,1.4.1.RELEASE,,,,,,
Spring,roncoo/spring-boot-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/roncoo/spring-boot-demo/spring-boot-demo-31-1/pom.xml,1.4.1.RELEASE,,,,,,
Spring,nosqlcoco/springboot-weapp-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nosqlcoco/springboot-weapp-demo/pom.xml,1.4.2.RELEASE,,,,,,
Spring,zhengyunfei/springboot-hadmin,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/zhengyunfei/springboot-hadmin/pom.xml,1.4.2.RELEASE,,,,,,
Spring,spring-projects/spring-security-oauth,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/spring-projects/spring-security-oauth/tests/annotation/pom.xml,1.5.1.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-mongodb/pom.xml,1.5.10.RELEASE,,,,,,
Spring,souyunku/SpringBootExamples,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/souyunku/SpringBootExamples/spring-boot-rocketmq/pom.xml,1.5.10.RELEASE,,,,,,
Spring,wyh-spring-ecosystem-student/spring-boot-student,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/wyh-spring-ecosystem-student/spring-boot-student/pom.xml,1.5.13.RELEASE,,,,,,
Spring,sofastack/sofa-registry,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sofastack/sofa-registry/pom.xml,1.5.17.RELEASE,,,,,,
Spring,xuwujing/springBoot-study,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xuwujing/springBoot-study/springboot-exceptionHandler/pom.xml,1.5.17.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/1_ECS_Java_Spring_PetClinic/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/2_ECS_Java_Spring_PetClinic_Microservices/spring-petclinic-rest-owner/pom.xml,1.5.2.RELEASE,,,,,,
Spring,aws-samples/amazon-ecs-java-microservices,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aws-samples/amazon-ecs-java-microservices/2_ECS_Java_Spring_PetClinic_Microservices/spring-petclinic-rest-pet/pom.xml,1.5.2.RELEASE,,,,,,
