framework,projeto,caminho,minSdkVersion,targetSdkVersion,,api level,min,target,,,,,,,,,,,,
Android,tvbarthel/ChaseWhisplyProject,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tvbarthel/ChaseWhisplyProject/ChaseWhisply/build.gradle,14,21,,,,,,,,,,,,,,,,
Android,linroid/FilterMenu,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/linroid/FilterMenu/sample/build.gradle,15,21,,,,,,,,,,,,,,,,
Android,xiongwei-git/GankApp,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/xiongwei-git/GankApp/app/build.gradle,19,21,,,,,,,,,,,,,,,,
Android,hongyangAndroid/android-percent-support-extend,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/hongyangAndroid/android-percent-support-extend/percent-support-extends-sample/build.gradle,7,22,,,,,,,,,,,,,,,,
Android,hongyangAndroid/android-percent-support-extend,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/hongyangAndroid/android-percent-support-extend/percent-support-extends/build.gradle,7,22,,,,,,,,,,,,,,,,
Android,z56402344/AnimTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/z56402344/AnimTextView/app/build.gradle,8,22,,,,,,,,,,,,,,,,
Android,nicolasjafelle/PagingListView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nicolasjafelle/PagingListView/PagingListViewProject/PagingListView/build.gradle,9,22,,,,,,,,,,,,,,,,
Android,nicolasjafelle/PagingListView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/nicolasjafelle/PagingListView/PagingListViewProject/PagingListViewSample/build.gradle,9,22,,,,,,,,,,,,,,,,
Android,ww6015132/SilkySignature,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/ww6015132/SilkySignature/app/build.gradle,9,22,,,,,,,,,,,,,,,,
Android,orhanobut/bee,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/orhanobut/bee/bee/build.gradle,10,22,,,,,,,,,,,,,,,,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/lib/build.gradle,14,22,,,,,,,,,,,,,,,,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/lib/build.gradle,14,22,,,,,,,,,,,,,,,,
Android,LaiFeng-Android/SopCastComponent,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/LaiFeng-Android/SopCastComponent/app/build.gradle,14,22,,,,,,,,,,,,,,,,
Android,yaa110/Piclice,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/yaa110/Piclice/app/build.gradle,14,22,,,,,,,,,,,,,,,,
Android,android-hacker/VirtualXposed,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/android-hacker/VirtualXposed/VirtualApp/app/build.gradle,15,22,,,,,,,,,,,,,,,,
Android,jaikydota/Android-ImagesPickers,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jaikydota/Android-ImagesPickers/imagepicker/app/build.gradle,15,22,,,,,,,,,,,,,,,,
Android,jaikydota/Android-ImagesPickers,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jaikydota/Android-ImagesPickers/imagepicker/imagespickers/build.gradle,15,22,,,,,,,,,,,,,,,,
Android,senzhk/ADBKeyBoard,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/senzhk/ADBKeyBoard/keyboardservice/build.gradle,15,22,,,,,,,,,,,,,,,,
Android,aliyun/alicloud-android-demo,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/aliyun/alicloud-android-demo/mpush_reactnative_android_demo/AwesomeProject/android/app/build.gradle,16,22,,,,,,,,,,,,,,,,
Android,jacobrosenthal/react-native-ble,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jacobrosenthal/react-native-ble/examples/eddystone_beacon_scanner/android/app/build.gradle,16,22,,,,,,,,,,,,,,,,
Android,tekinarslan/AndroidMaterialDesignToolbar,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/tekinarslan/AndroidMaterialDesignToolbar/app/build.gradle,16,22,,,,,,,,,,,,,,,,
Android,sphinx02/AppStarter,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sphinx02/AppStarter/AppStarterProject/AppStarter/build.gradle,17,22,,,,,,,,,,,,,,,,
Android,exallium/RxRecyclerView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/exallium/RxRecyclerView/app/build.gradle,19,22,,,,,,,,,,,,,,,,
Android,MartinRGB/GiftCard-Android,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/MartinRGB/GiftCard-Android/build.gradle,19,22,,,,,,,,,,,,,,,,
Android,cping/LGame,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/cping/LGame/Java/Loon-Neo-Android/build.gradle,21,22,,,,,,,,,,,,,,,,
Android,jacobrosenthal/react-native-ble,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/jacobrosenthal/react-native-ble/examples/advertisement_discovery/android/app/build.gradle,21,22,,,,,,,,,,,,,,,,
Android,LaiFeng-Android/SopCastComponent,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/LaiFeng-Android/SopCastComponent/sopcast-sdk/build.gradle,8,23,,,,,,,,,,,,,,,,
Android,markzhai/init,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/markzhai/init/demo/build.gradle,8,23,,,,,,,,,,,,,,,,
Android,markzhai/init,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/markzhai/init/init/build.gradle,8,23,,,,,,,,,,,,,,,,
Android,Xiaofei-it/Hermes,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/Xiaofei-it/Hermes/hermes/build.gradle,8,23,,,,,,,,,,,,,,,,
Android,glt/ScreenRecorder,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/glt/ScreenRecorder/recorder/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,HomHomLin/SlidingLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/HomHomLin/SlidingLayout/app/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,HomHomLin/SlidingLayout,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/HomHomLin/SlidingLayout/library/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,limpoxe/Android-ServiceManager,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/limpoxe/Android-ServiceManager/android-servicemanager/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,linsea/UniversalVideoView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/linsea/UniversalVideoView/universalvideoview/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,linsea/UniversalVideoView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/linsea/UniversalVideoView/universalvideoviewsample/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,LuckyJayce/GuideHelper,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/LuckyJayce/GuideHelper/app/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,prcaen/external-resources,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/prcaen/external-resources/build.gradle,9,23,,,,,,,,,,,,,,,,
Android,traex/RippleEffect,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/traex/RippleEffect/library/build.gradle,9,23,,,,,,,,,,,,,,,,
