framework,projeto,arquivo,minSdkVersion/version,targetSdk/groupId,compileSdk/artifactId
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/viewstate/build.gradle,,,rootProject.ext.compileSdkVersion
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/mvi-integration-test/build.gradle,,,rootProject.ext.compileSdkVersion
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/presentermanager/build.gradle,rootProject.ext.minSdk,rootProject.ext.targetSdk,rootProject.ext.compileSdkVersion
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/mvp-common/build.gradle,information not found,information not found,information not found
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/mvp-queuing-presenter/build.gradle,information not found,information not found,information not found
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/utils-fragment/build.gradle,,,rootProject.ext.compileSdkVersion
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/mvi-common/build.gradle,information not found,information not found,information not found
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/sample-mail/build.gradle,,,rootProject.ext.compileSdkVersion
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/mvp/build.gradle,rootProject.ext.minSdk,rootProject.ext.targetSdk,rootProject.ext.compileSdkVersion
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/sample/build.gradle,,,rootProject.ext.compileSdkVersion
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/sample-mvi/build.gradle,,,rootProject.ext.compileSdkVersion
Android,sockeqwe/mosby,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/sockeqwe/mosby/mvp-nullobject-presenter/build.gradle,information not found,information not found,information not found
Android,D-clock/AndroidStudyCode,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/D-clock/AndroidStudyCode/build.gradle,11,23,23
Android,milaptank/SpannableTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/milaptank/SpannableTextView/build.gradle,information not found,information not found,information not found
Android,milaptank/SpannableTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/milaptank/SpannableTextView/stv/build.gradle,14,26,26
Android,milaptank/SpannableTextView,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/milaptank/SpannableTextView/app/build.gradle,14,26,26
Android,senzhk/ADBKeyBoard,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/senzhk/ADBKeyBoard/build.gradle,information not found,information not found,information not found
Android,senzhk/ADBKeyBoard,/home/gabriel/Documentos/ic2/analiseDosProjetosGerais/repositorios/senzhk/ADBKeyBoard/keyboardservice/build.gradle,15,22,23
