2019-06-18 23:41:35 +0000;2.1.6.RELEASE
2019-05-15 06:58:59 +0000;2.1.5.RELEASE
2019-04-04 02:02:22 +0000;2.1.4.RELEASE
2019-02-15 10:04:43 +0000;2.1.3.RELEASE
2019-01-12 02:13:30 +0000;2.1.2.RELEASE
2018-11-30 08:15:04 +0000;2.1.1.RELEASE
2018-10-30 09:00:36 +0000;2.1.0.RELEASE
2019-04-03 13:44:28 +0000;2.0.9.RELEASE
2019-01-11 18:17:45 +0000;2.0.8.RELEASE
2018-11-30 01:58:47 +0000;2.0.7.RELEASE
2018-10-16 13:52:14 +0000;2.0.6.RELEASE
2018-09-12 08:28:53 +0000;2.0.5.RELEASE
2018-07-30 13:55:59 +0000;2.0.4.RELEASE
2018-06-14 11:28:24 +0000;2.0.3.RELEASE
2018-05-09 13:15:09 +0000;2.0.2.RELEASE
2018-04-05 11:32:25 +0000;2.0.1.RELEASE
2018-03-01 04:42:15 +0000;2.0.0.RELEASE
2017-11-28 09:55:31 +0000;1.5.9.RELEASE
2017-10-16 12:36:19 +0000;1.5.8.RELEASE
2017-09-12 10:53:38 +0000;1.5.7.RELEASE
2017-07-27 07:59:49 +0000;1.5.6.RELEASE
2017-07-26 08:30:24 +0000;1.5.5.RELEASE
2017-06-08 12:47:02 +0000;1.5.4.RELEASE
2017-04-21 08:31:45 +0000;1.5.3.RELEASE
2019-05-14 08:20:52 +0000;1.5.21.RELEASE
2019-04-03 10:34:36 +0000;1.5.20.RELEASE
2017-03-03 16:18:13 +0000;1.5.2.RELEASE
2019-01-11 15:58:51 +0000;1.5.19.RELEASE
2018-11-29 09:52:30 +0000;1.5.18.RELEASE
2018-10-16 08:44:28 +0000;1.5.17.RELEASE
2018-09-11 14:24:21 +0000;1.5.16.RELEASE
2018-07-30 13:37:09 +0000;1.5.15.RELEASE
2018-06-14 10:05:09 +0000;1.5.14.RELEASE
2018-05-09 09:31:29 +0000;1.5.13.RELEASE
2018-04-09 23:14:16 +0000;1.5.12.RELEASE
2018-04-05 09:01:34 +0000;1.5.11.RELEASE
2018-01-30 23:29:19 +0000;1.5.10.RELEASE
2017-01-30 20:10:00 +0000;1.5.1.RELEASE
2017-01-30 11:40:09 +0000;1.5.0.RELEASE
2017-06-08 09:52:23 +0000;1.4.7.RELEASE
2017-04-20 12:46:03 +0000;1.4.6.RELEASE
2017-03-03 14:39:09 +0000;1.4.5.RELEASE
2017-01-26 14:20:24 +0000;1.4.4.RELEASE
2016-12-23 00:15:08 +0000;1.4.3.RELEASE
2016-11-08 16:55:26 +0000;1.4.2.RELEASE
2016-09-21 07:57:55 +0000;1.4.1.RELEASE
2016-07-28 19:53:46 +0000;1.4.0.RELEASE
2016-09-20 20:19:55 +0000;1.3.8.RELEASE
2016-07-28 09:18:15 +0000;1.3.7.RELEASE
2016-07-04 14:14:37 +0000;1.3.6.RELEASE
2016-05-10 05:28:15 +0000;1.3.5.RELEASE
2016-05-06 11:23:44 +0000;1.3.4.RELEASE
2016-02-26 01:06:05 -0800;1.3.3.RELEASE
2016-01-21 18:41:21 -0800;1.3.2.RELEASE
2015-12-18 05:42:42 -0800;1.3.1.RELEASE
2015-11-16 03:18:27 -0800;1.3.0.RELEASE
2015-12-17 05:00:09 -0800;1.2.8.RELEASE
2015-10-16 05:57:11 -0700;1.2.7.RELEASE
2015-09-16 09:00:07 -0700;1.2.6.RELEASE
2015-07-01 22:47:50 -0700;1.2.5.RELEASE
2015-06-04 00:49:02 -0700;1.2.4.RELEASE
2015-03-30 22:55:31 -0700;1.2.3.RELEASE
2015-02-26 15:26:04 -0800;1.2.2.RELEASE
2015-01-07 23:35:32 -0800;1.2.1.RELEASE
2014-12-10 16:35:11 -0800;1.2.0.RELEASE
2014-11-11 17:10:31 -0800;1.1.9.RELEASE
2014-10-10 15:19:31 -0700;1.1.8.RELEASE
2014-09-25 21:02:15 -0700;1.1.7.RELEASE
2014-09-04 12:15:02 -0700;1.1.6.RELEASE
2014-08-07 11:59:01 -0700;1.1.5.RELEASE
2014-07-08 02:33:28 -0700;1.1.4.RELEASE
2014-06-26 14:09:47 -0700;1.1.3.RELEASE
2014-06-24 13:53:46 -0700;1.1.2.RELEASE
2015-03-30 18:22:47 -0700;1.1.12.RELEASE
2015-02-26 13:01:00 -0800;1.1.11.RELEASE
2014-12-10 18:06:05 -0800;1.1.10.RELEASE
2014-06-11 10:46:18 -0700;1.1.1.RELEASE
2014-06-10 12:40:27 -0700;1.1.0.RELEASE
2014-04-24 02:24:21 -0700;1.0.2.RELEASE
2014-04-06 22:43:09 -0700;1.0.1.RELEASE
2014-04-01 03:05:43 -0700;1.0.0.RELEASE
