framework,projeto,stars,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles,Lifetime,commits,stars
Android,AlexKorovyansky/android-fb-like-slideout-navigation,388,8,8,8,7,49,0,47,1,0,0,0,0,11,2,3,30,0,30,28,8,30,0,0,0,1,29,0,349,61,284,123,137,4,0,0,0,153,198,117,81,0,0,0,0,0,13,13,13,7,0,0,4,0,0,0,0,15,39,39,39,30,7,2675,13,388
Android,nicolasjafelle/PagingListView,386,6,6,6,6,38,0,35,1,0,0,0,0,17,0,2,67,0,68,68,18,68,0,1,4,17,46,0,661,123,469,152,236,69,0,0,0,246,343,150,193,0,0,0,0,0,17,15,19,6,0,0,6,0,0,0,0,39,92,90,96,67,6,2138,45,386
Android,cping/LGame,367,7304,6949,8073,4714,40013,1127,36253,1760,0,0,0,0,7067,9956,9319,83412,0,88308,78889,30669,88845,0,3104,3809,2720,79212,0,1073340,150330,774311,227822,453774,150721,0,0,0,399349,565051,217430,347621,0,0,0,0,0,31362,28827,36842,12284,0,0,8421,0,0,0,1536,122837,168042,162844,184705,102225,4749,2418,756,367
Android,MichaelEvans/Aftermath,348,12,12,12,6,107,4,98,2,0,0,0,0,11,5,13,37,0,41,36,16,41,0,6,8,3,24,0,678,109,556,251,280,15,0,0,0,279,367,220,147,0,0,0,0,0,27,27,29,13,0,0,12,0,0,0,0,54,74,74,78,44,9,1448,34,348
Android,ganyao114/SandHook,346,276,274,298,186,1756,22,1060,624,0,0,0,0,267,2139,595,3545,0,3625,1484,389,3623,0,192,213,216,3002,0,72368,6012,29235,8447,16407,37287,0,0,0,13674,21493,8343,13150,0,0,0,0,0,876,864,1021,506,0,0,249,0,0,0,175,5604,7764,7741,8649,5367,172,172,423,346
Android,glt/ScreenRecorder,345,4,4,4,3,21,0,19,0,0,0,0,0,6,1,4,23,0,23,22,12,23,0,0,2,4,17,0,276,45,230,93,113,1,0,0,0,129,168,84,84,0,0,0,0,0,8,8,9,6,0,0,5,0,0,0,0,5,36,36,39,26,3,1115,3,345
Android,SpikeKing/wcl-permission-demo,344,5,5,5,5,25,0,23,1,0,0,0,0,7,1,7,21,0,21,20,5,21,0,0,8,5,8,0,263,44,181,77,79,49,0,0,0,96,134,76,58,0,0,0,0,0,10,10,11,9,0,0,5,0,0,0,0,146,31,31,34,25,5,1255,13,344
Android,lichao315/Calendar,341,10,6,11,4,52,0,42,9,0,0,0,0,19,6,59,53,0,53,47,45,53,0,0,10,0,43,0,1054,122,723,285,479,284,0,0,0,449,571,282,289,0,0,0,0,0,46,35,55,14,0,0,9,0,0,0,0,228,119,107,136,69,6,1780,10,341
Android,ryanlijianchang/Recyclerview-Gallery,339,16,15,16,13,140,14,86,36,0,0,0,0,27,12,10,95,0,98,86,31,98,0,7,12,9,70,0,1399,242,837,339,433,320,0,0,0,446,605,322,283,0,0,0,0,0,30,29,37,15,0,0,8,0,0,0,0,595,150,146,159,97,13,570,104,339
Android,exallium/RxRecyclerView,336,18,18,19,16,99,1,86,8,0,0,0,0,31,2,9,81,0,82,82,29,84,0,2,6,8,68,0,1389,173,693,310,307,529,0,0,0,353,492,284,208,0,0,0,0,0,55,50,58,23,0,0,17,0,0,0,17,766,129,122,133,88,17,1515,59,336
