framework,projeto,stars,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,?,numberOfJavaFiles,Lifetime,commits,stars
Android,koral--/android-gif-drawable,7422,46,45,48,38,268,3,210,46,0,0,0,0,66,62,16,429,0,477,417,117,479,0,103,69,10,297,0,5330,673,3163,1376,1294,1503,0,0,0,1548,2219,1171,1048,0,0,0,0,0,102,102,114,57,0,0,41,0,0,0,15,1125,616,609,650,462,43,2347,1040,7422
Android,android-hacker/VirtualXposed,7276,628,604,686,395,3162,55,2893,127,0,0,0,0,1432,493,1440,3732,0,3872,3262,1042,3755,0,213,454,245,2843,0,57187,8099,44029,17638,22134,5160,0,0,0,22266,31532,15882,15650,0,0,0,0,0,1728,1660,1913,871,0,0,587,0,0,0,55,7316,7992,7851,8533,4892,538,1092,1129,7276
Android,google/android-classyshark,5700,184,176,199,128,1073,112,902,17,0,0,0,0,212,158,182,848,0,895,757,314,915,0,71,166,15,663,0,14099,2363,9290,3802,5006,2478,0,0,0,5019,6739,3593,3146,0,0,0,0,0,442,411,484,192,0,0,168,0,0,0,39,4381,1553,1509,1641,984,133,1361,605,5700
Android,sockeqwe/mosby,5210,377,377,381,338,2456,176,1987,196,0,0,0,0,665,69,181,2386,0,2615,2459,748,2528,0,204,149,263,1912,0,34510,5596,19767,8602,8803,9221,0,0,0,10584,14180,8122,6058,0,0,0,0,0,765,758,814,443,0,0,226,0,0,0,243,15771,3253,3243,3352,2528,416,1590,602,5210
Android,traex/RippleEffect,4867,6,6,6,6,42,1,36,1,0,0,0,0,19,0,0,66,0,66,68,38,68,0,2,4,2,60,0,857,120,579,199,271,158,0,0,0,294,393,189,204,0,0,0,0,0,19,19,21,8,0,0,6,0,0,0,0,223,91,91,96,68,7,1729,110,4867
Android,aporter/coursera-android,4312,422,419,436,350,3902,655,2794,307,0,0,0,0,650,22,513,1752,0,1770,1748,838,1770,0,77,231,245,1217,0,28791,5793,20371,8820,10512,2687,0,0,0,10877,14153,7659,6494,0,0,0,0,0,787,754,841,411,0,0,286,0,0,0,4,3997,2916,2855,3093,1884,356,2006,73,4312
Android,makovkastar/FloatingActionButton,4037,12,12,13,9,56,0,55,0,0,0,0,0,28,2,6,118,0,127,125,33,127,0,9,22,3,93,0,1152,187,949,401,447,16,0,0,0,459,652,360,292,0,0,0,0,0,28,28,31,12,0,0,13,0,0,0,0,20,176,176,182,121,10,1808,321,4037
Android,grantland/android-autofittextview,3864,5,5,5,4,36,2,24,7,0,0,0,0,8,7,4,65,0,66,59,19,66,0,0,12,0,54,0,882,128,521,191,265,235,0,0,0,250,365,176,189,0,0,0,0,0,18,18,18,10,0,0,6,0,0,0,1,71,107,107,111,73,4,3062,61,3864
Android,yanzhenjie/NoHttp,3648,182,176,194,140,945,24,760,128,0,0,0,0,228,210,135,1203,0,1304,1110,311,1320,0,140,78,63,1039,0,17337,2233,9198,3883,4169,5952,0,0,0,4593,6643,3512,3131,0,0,0,0,0,446,420,498,220,0,0,160,0,0,0,151,6425,1903,1856,2024,1326,151,1436,209,3648
Android,florent37/ExpectAnim,2653,74,72,77,60,398,18,362,4,0,0,0,0,75,47,1,289,0,303,256,119,303,0,17,16,13,257,0,3415,732,2487,1101,1015,198,0,0,0,1146,1656,980,676,0,0,0,0,0,135,127,143,66,0,0,47,0,0,0,0,1007,440,432,450,308,62,864,65,2653
